latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-25.33298,30.77094,308.37,0.75,0.77,2026-05-28,0013,N,nominal,2.0NRT,283.5,1.46,N
13.10762,14.25592,336.65,0.43,0.62,2026-05-28,0005,N,nominal,2.0NRT,281.74,5.13,N
-4.49897,27.90456,310.98,0.55,0.51,2026-05-28,0007,N,nominal,2.0NRT,287.46,1.51,N
-25.57416,27.5812,305.74,0.48,0.65,2026-05-28,0013,N,nominal,2.0NRT,283.23,0.87,N
13.10715,14.25995,300.26,0.43,0.62,2026-05-28,0005,N,nominal,2.0NRT,279.96,2.25,N
-4.5022,27.89378,305.82,0.55,0.51,2026-05-28,0007,N,nominal,2.0NRT,289.14,1.69,N
-25.86029,29.17127,300.1,0.61,0.71,2026-05-28,0013,N,nominal,2.0NRT,281.58,1.91,N
11.8654,23.39736,312.11,0.39,0.36,2026-05-28,0005,N,nominal,2.0NRT,296.59,1.33,N
-4.53237,28.06076,304.65,0.57,0.52,2026-05-28,0007,N,nominal,2.0NRT,288.59,1.32,N
-25.85693,29.17266,300.44,0.61,0.71,2026-05-28,0013,N,nominal,2.0NRT,282.9,1.55,N
11.86314,23.39665,315.73,0.39,0.36,2026-05-28,0005,N,nominal,2.0NRT,296.4,1.6,N
-4.43546,27.30102,310.24,0.5,0.49,2026-05-28,0007,N,nominal,2.0NRT,289.27,1.11,N
-26.02748,29.17181,295.51,0.61,0.71,2026-05-28,0013,N,nominal,2.0NRT,283.9,2.69,N
-4.50216,27.89248,303.06,0.55,0.51,2026-05-28,0007,N,nominal,2.0NRT,289.13,1.49,N
13.10655,14.25526,324.92,0.43,0.62,2026-05-28,0005,N,nominal,2.0NRT,280.71,4.42,N
-26.28569,28.16154,304.16,0.53,0.67,2026-05-28,0013,N,nominal,2.0NRT,279.75,2.32,N
-4.13001,25.31683,303.03,0.56,0.43,2026-05-28,0007,N,nominal,2.0NRT,289.65,0.6,N
13.10607,14.25929,318.21,0.43,0.62,2026-05-28,0005,N,nominal,2.0NRT,280.41,2.78,N
-26.30882,27.78328,295.86,0.51,0.66,2026-05-28,0013,N,nominal,2.0NRT,279.27,1.45,N
-4.53105,28.05975,308.09,0.57,0.52,2026-05-28,0007,N,nominal,2.0NRT,288.63,1.04,N
13.0874,14.26917,304.7,0.43,0.62,2026-05-28,0005,N,nominal,2.0NRT,280.13,0.78,N
-26.53845,29.15197,304.53,0.61,0.71,2026-05-28,0013,N,nominal,2.0NRT,278.54,1.54,N
-4.43594,27.30374,304.78,0.5,0.49,2026-05-28,0007,N,nominal,2.0NRT,289.27,0.46,N
11.48267,24.47738,306.23,0.38,0.36,2026-05-28,0005,N,nominal,2.0NRT,293.02,0.61,N
-26.54517,29.15132,298.27,0.61,0.71,2026-05-28,0013,N,nominal,2.0NRT,281.78,4.91,N
-4.59104,28.06709,310.05,0.57,0.52,2026-05-28,0007,N,nominal,2.0NRT,288.41,1.16,N
-26.80405,27.85491,303.01,0.52,0.67,2026-05-28,0013,N,nominal,2.0NRT,285.04,1.89,N
11.49022,18.475,314.54,0.43,0.46,2026-05-28,0005,N,nominal,2.0NRT,289.18,2.3,N
-4.59506,28.06103,300.8,0.57,0.52,2026-05-28,0007,N,nominal,2.0NRT,289.02,1.18,N
-26.80772,27.85372,297.1,0.52,0.67,2026-05-28,0013,N,nominal,2.0NRT,283.54,2.04,N
10.99831,20.69111,312.7,0.47,0.4,2026-05-28,0005,N,nominal,2.0NRT,263.7,1.08,N
-4.59584,28.06632,298.48,0.57,0.52,2026-05-28,0007,N,nominal,2.0NRT,288.3,0.78,N
-28.46799,30.02788,315.82,0.72,0.75,2026-05-28,0013,N,nominal,2.0NRT,281.93,3.61,N
-4.33553,26.15396,310.95,0.42,0.45,2026-05-28,0007,N,nominal,2.0NRT,288.48,1.11,N
10.99465,20.69055,304.05,0.47,0.4,2026-05-28,0005,N,nominal,2.0NRT,264.22,1.08,N
-28.47001,30.02923,302.2,0.72,0.75,2026-05-28,0016,N,nominal,2.0NRT,281.37,1.94,N
-4.33973,26.15333,310.32,0.42,0.45,2026-05-28,0007,N,nominal,2.0NRT,288.52,1.11,N
10.73623,20.75247,325.31,0.47,0.39,2026-05-28,0005,N,nominal,2.0NRT,285.1,1.87,N
-30.27251,29.79274,295.47,0.71,0.75,2026-05-28,0016,N,nominal,2.0NRT,282.65,1.91,N
-4.49476,27.16998,304.28,0.49,0.49,2026-05-28,0007,N,nominal,2.0NRT,289.93,0.77,N
10.73687,20.74821,312.85,0.47,0.39,2026-05-28,0005,N,nominal,2.0NRT,287.09,2.8,N
-30.27509,29.78193,295.06,0.71,0.75,2026-05-28,0016,N,nominal,2.0NRT,283.82,1.35,N
-4.72795,28.61556,303.79,0.63,0.54,2026-05-28,0007,N,nominal,2.0NRT,288.79,1.84,N
10.7326,20.75192,303.61,0.47,0.39,2026-05-28,0005,N,nominal,2.0NRT,283.93,0.34,N
-30.27535,29.78859,297.82,0.71,0.75,2026-05-28,0016,N,nominal,2.0NRT,282.93,1.32,N
-4.54504,26.73282,307.99,0.46,0.47,2026-05-28,0007,N,nominal,2.0NRT,291.88,1.05,N
10.44887,20.63547,306.91,0.47,0.4,2026-05-28,0005,N,nominal,2.0NRT,281.54,1.22,N
-30.27562,29.79575,295.88,0.72,0.75,2026-05-28,0016,N,nominal,2.0NRT,284.04,1.32,N
-4.54942,26.73221,308.92,0.46,0.47,2026-05-28,0007,N,nominal,2.0NRT,291.47,1.1,N
-30.35359,29.61039,297.61,0.7,0.75,2026-05-28,0016,N,nominal,2.0NRT,283.62,1.72,N
9.00887,28.72664,304.56,0.39,0.44,2026-05-28,0005,N,nominal,2.0NRT,279.73,1.13,N
-4.7441,27.94612,298.84,0.56,0.52,2026-05-28,0007,N,nominal,2.0NRT,287.12,0.51,N
-30.35658,29.60935,301.61,0.7,0.75,2026-05-28,0016,N,nominal,2.0NRT,283.36,1.43,N
9.00483,28.72593,313.8,0.39,0.44,2026-05-28,0005,N,nominal,2.0NRT,281.13,2.11,N
